typ_bw,FID,rvs_str,key_str,bez_str,richtung_str,km_von,km_bis,bez_bw,nr_bw,baujahr_bw,breite_bw,hoehe_bw
bruecke,bruecke.149,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,6.687,6.705,Bubenriederbachbrücke,L001 008,1897,7,
bruecke,bruecke.195,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,1.708,1.727,Hoferbachbrücke,L001 003,1975,7,
bruecke,bruecke.220,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,1.813,1.864,V15a Ruggbachdurchlass,L001 004,1980,7,
bruecke,bruecke.238,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,2.207,2.276,V13 Überführung der L1,A 14 007,1979,7,
bruecke,bruecke.346,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,7.858,7.871,Eschbachbrücke (Hohenweilerbach),L001 011,1899,7,
bruecke,bruecke.378,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,5.578,5.594,Wiedebachbrücke (Diezlingerbach/Weidebach),L001 006,1912,7,
bruecke,bruecke.385,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,0.495,0.503,Kugelbeerbrücke,L001 001,2003,7,
bruecke,bruecke.395,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,6.849,6.871,Seilerbachbrücke,L001 009,1899,7,
bruecke,bruecke.425,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,6.236,6.255,Fesslerbachbrücke (Gwiggerbach),L001 007,1954,7,
bruecke,bruecke.541,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,4.629,4.679,Bergerbachbrücke,L001 005,1912,7,
bruecke,bruecke.614,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,8.967,8.973,Rickenbachbrücke (Grenze),L001 013,1988,7,
bruecke,bruecke.658,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,1.01,1.018,Lochauerbachbrücke,L001 002,1916,7,
bruecke,bruecke.213,8    -L  10 -    -,L10,Möggerser Straße,RFB 1,0.2,0.213,Riedbachbrücke,L010 001,1976,7,
bruecke,bruecke.94,8    -L  11 -    -,L11,Eichenberger Straße,RFB 1,4.336,4.347,Tiefgarage Schönblick (Fremdbrücke),L011 011,1989,7,
bruecke,bruecke.193,8    -L  11 -    -,L11,Eichenberger Straße,RFB 1,2.339,2.369,Hoferbachbrücke 2,L011 003,1972,7,
bruecke,bruecke.352,8    -L  11 -    -,L11,Eichenberger Straße,RFB 1,2.519,2.565,Hoferbachbrücke 3,L011 004,1972,7,
bruecke,bruecke.431,8    -L  11 -    -,L11,Eichenberger Straße,RFB 1,2.807,2.98,Hangbrücke Wanne,L011 005,1977,7,
bruecke,bruecke.484,8    -L  11 -    -,L11,Eichenberger Straße,RFB 1,0.446,0.464,Hoferbachbrücke 1,L011 001,2008,7,
bruecke,bruecke.588,8    -L  11 -    -,L11,Eichenberger Straße,RFB 1,2.143,2.191,Hangbrücke,L011 002,1972,7,
bruecke,bruecke.163,8    -L  12 -    -,L12,Fluher Straße,RFB 1,5.865,5.888,Grasreuterbachbrücke,L012 001,1925,7,
bruecke,bruecke.656,8    -L  12 -    -,L12,Fluher Straße,RFB 1,5.944,5.966,Wirtatobelbrücke,L012 002,1988,7,
bruecke,bruecke.115,8    -L  13 -    -,L13,Kennelbacher Straße,RFB 1,2.4,2.533,Bregenzerachbrücke,L013 002,1979,7,
bruecke,bruecke.253,8    -L  13 -    -,L13,Kennelbacher Straße,RFB 1,0.594,0.598,V21d Radwegunterführung Kreisverkehr 2,L013 004,2004,7,
bruecke,bruecke.409,8    -L  13 -    -,L13,Kennelbacher Straße,RFB 1,0,0.041,Überführung  der L13 über den Citytunnel,A 14 T02,,7,
bruecke,bruecke.523,8    -L  13 -    -,L13,Kennelbacher Straße,RFB 1,2.141,2.186,Werkskanalbrücke,L013 001,1975,7,
bruecke,bruecke.673,8    -L  13 -    -,L13,Kennelbacher Straße,RFB 1,0.564,0.57,V21d Radwegunterführung Kreisverkehr 1,L013 003,2004,7,
bruecke,bruecke.196,8    -L  14 -    -,L14,Bucher Straße,RFB 1,6.66,6.76,Sägertobelbrücke,L014 005,1990,7,
bruecke,bruecke.322,8    -L  14 -    -,L14,Bucher Straße,RFB 1,9.794,9.806,Fischbachbrücke,L014 007,2013,7,
bruecke,bruecke.329,8    -L  14 -    -,L14,Bucher Straße,RFB 1,4.069,4.129,Bruckgrabenbrücke,L014 003,1983,7,
bruecke,bruecke.331,8    -L  14 -    -,L14,Bucher Straße,RFB 1,7.358,7.364,Gewölbedurchlass 2,L014 006,2009,7,
bruecke,bruecke.498,8    -L  14 -    -,L14,Bucher Straße,RFB 1,3.532,3.577,Ippachbrücke,L014 002,2001,7,
bruecke,bruecke.620,8    -L  14 -    -,L14,Bucher Straße,RFB 1,2.525,2.557,Hangbrücke Ippach,L014 001,1977,7,
bruecke,bruecke.122,8    -L  15 -    -,L15,Bildsteiner Straße,RFB 1,0.647,0.722,Hangbrücke 1,L015 002,1987,7,
bruecke,bruecke.291,8    -L  15 -    -,L15,Bildsteiner Straße,RFB 1,0.101,0.112,Oberer Schlattgrabendurchlass,L015 001,1985,7,
bruecke,bruecke.298,8    -L  15 -    -,L15,Bildsteiner Straße,RFB 1,0.843,0.919,Hangbrücke 2,L015 003,1987,7,
bruecke,bruecke.565,8    -L  15 -    -,L15,Bildsteiner Straße,RFB 1,3.98,4,Minderachbrücke,L015 004,1956,7,
bruecke,bruecke.287,8    -L  16 -    -,L16,Wälderstraße,RFB 1,1.525,1.69,Ippachbrücke,L016 001,2014,7,
bruecke,bruecke.479,8    -L  16 -    -,L16,Wälderstraße,RFB 1,0.861,0.943,V26 Überführung der L16 Wälder Straße,A 14 026,1979,7,
bruecke,bruecke.123,8    -L  18 -    -,L18,Hörbranzer Straße,RFB 1,2.558,2.566,Fabrikskanalbrücke,L018 002,1920,7,
bruecke,bruecke.536,8    -L  18 -    -,L18,Hörbranzer Straße,RFB 1,0.736,0.747,Ruggbachbrücke,L018 001,1965,7,
bruecke,bruecke.639,8    -L  18 -    -,L18,Hörbranzer Straße,RFB 1,3.043,3.052,Leiblachbrücke (Grenze),L018 003,1982,7,
bruecke,bruecke.28,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,57.08,57.104,Illbrücke bei der Säge Flöry,B188 002,1938,6.5,
bruecke,bruecke.33,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,73.6,73.608,Rappentobelbrücke 2,B188 019,1962,6.5,
bruecke,bruecke.41,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,73.239,73.252,Stiefentobelbrücke,B188 017,1986,6.5,
bruecke,bruecke.107,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,81.564,81.574,Grafesertobelbrücke,B188 023,1961,6.5,
bruecke,bruecke.117,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,73.417,73.428,Bargustobelbrücke,B188 018,1962,6.5,
bruecke,bruecke.170,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,73.055,73.115,Ill - Landbrücke,B188 016,1953,6.5,
bruecke,bruecke.172,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,58.677,58.695,Querungsbauwerk Unterwasserkanal und Schwallentlastung,B188 037,1969,6.5,
bruecke,bruecke.191,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,84.863,84.92,Untere Illbrücke Lorüns,B188 026,1959,6.5,
bruecke,bruecke.221,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,76.491,76.518,Litzbrücke,B188 021,2002,6.5,
bruecke,bruecke.274,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,62.656,62.745,Untere Illbrücke Gaschurn,B188 009,1985,6.5,
bruecke,bruecke.277,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,84.649,84.665,Oberwasserkanalbrücke (Radweg),B188 025,1959,6.5,
bruecke,bruecke.285,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,60.945,61,Obere Illbrücke Gaschurn,B188 005,1996,6.5,
bruecke,bruecke.308,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,83.427,83.48,Obere Illbrücke Lorüns,B188 024,1999,6.5,
bruecke,bruecke.310,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,75.322,75.342,Geh- und Radwegunterführung,B188 020,2018,6.5,
bruecke,bruecke.386,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,85.355,85.422,Alfenz- und Überlaufkanalbrücke,B188 027,1960,6.5,
bruecke,bruecke.445,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,66.287,66.301,Fleischbachbrücke,B188 012,2002,6.5,
bruecke,bruecke.474,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,67.378,67.398,Tramosabrücke,B188 014,1962,6.5,
bruecke,bruecke.507,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,59.911,59.917,Querungsbauwerk Förderbanddurchlass (VIW),B188 033,,6.5,
bruecke,bruecke.515,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,60.608,60.617,Gättertobelbrücke,B188 004,1996,6.5,
bruecke,bruecke.547,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,85.49,85.501,Radwegunterführung,B188 029,1999,6.5,
bruecke,bruecke.562,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,62.787,62.802,Gehsteigbrücke über Armco Durchlass (Randbalken),B188 006a,2013,6.5,
bruecke,bruecke.575,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,65.781,65.821,Hüttnertobelbrücke,B188 011,1920,6.5,
bruecke,bruecke.582,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,65.187,65.204,Balbierbachbrücke,B188 010,2011,6.5,
bruecke,bruecke.605,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,61.518,61.546,Garnerabachbrücke,B188 008,1996,6.5,
bruecke,bruecke.607,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,58.673,58.682,Querung Kabelkanalbrücke VIW,B188 036,1969,6.5,
bruecke,bruecke.622,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,70.788,70.918,Illbrücke Maurenstutz,B188 015,1988,6.5,
bruecke,bruecke.641,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,61.15,61.161,Klauserbachdurchlass,B188 007,1996,6.5,
bruecke,bruecke.650,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,62.791,62.807,Armco Durchlass,B188 006,1985,6.5,
bruecke,bruecke.336,8    -L  19 -    -,L19,Gaißauer Straße,RFB 1,4.609,4.661,Rheinbrücke Gaißau - Rheineck (Grenze),L019 001,1962,,
bruecke,bruecke.6,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,25.271,25.283,Fußgängerunterführung Levis,B190 022,1980,9,
bruecke,bruecke.11,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,2.916,2.931,Brunnenbachbrücke 2,B190 065,1920,9,
bruecke,bruecke.20,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,14.87,14.897,Tuxbachbrücke,B190 085,1995,9,
bruecke,bruecke.27,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,58.274,58.286,Fußgängerunterführung Weihersteig,B190 056,1966,9,
bruecke,bruecke.48,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,20.037,20.068,Geh- und Radwegbrücke (ehemals nur Gehsteig),B190 086,1975,9,
bruecke,bruecke.55,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,58.967,58.975,Weissenreutebachdurchlass,B190 066,1996,9,
bruecke,bruecke.61,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,16.851,16.87,Galinabrücke,B190 010,1994,9,
bruecke,bruecke.72,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,31.915,31.931,Klausbachbrücke,B190 029,1907,9,
bruecke,bruecke.85,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,33.449,33.573,V101 Überführung B190 Straßenhäuser,A 14 076,1963,9,
bruecke,bruecke.91,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,12.634,12.646,Durchlass Getzner,B190 007,1897,9,
bruecke,bruecke.100,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,59.965,59.975,Mühlebachbrücke,B190 059,2009,9,
bruecke,bruecke.102,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,56.131,56.297,Bregenzerachbrücke Lauterach,B190 053,1958,9,
bruecke,bruecke.135,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,59.201,59.285,Parkgarage Haus am Hafen,B190 078,2003,9,
bruecke,bruecke.140,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,0.276,0.313,Unterführung der Montafonerbahn,B190 001,1960,9,
bruecke,bruecke.142,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,0,0,Kugelbeerbachbrücke,B190 090,,9,
bruecke,bruecke.165,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,58.006,58.058,Fußgängerunterführung Augasse,B190 055,1966,9,
bruecke,bruecke.177,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,59.359,59.369,Steinebachbrücke,B190 058,2009,9,
