typ_bw,FID,rvs_str,key_str,bez_str,richtung_str,km_von,km_bis,bez_bw,nr_bw,baujahr_bw,breite_bw,hoehe_bw,laenge_bw,alter_bw,wandflaeche_bw,old_bw
bruecke,bruecke.149,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,6,6.705,Bubenriederbachbrücke,L001 008,1897.0,7.0,,705.0,125.0,,True
bruecke,bruecke.195,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,1,1.727,Hoferbachbrücke,L001 003,1975.0,7.0,,727.0,47.0,,True
bruecke,bruecke.220,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,1,1.864,V15a Ruggbachdurchlass,L001 004,1980.0,7.0,,864.0,42.0,,True
bruecke,bruecke.238,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,2,2.276,V13 Überführung der L1,A 14 007,1979.0,7.0,,276.0,43.0,,True
bruecke,bruecke.346,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,7,7.871,Eschbachbrücke (Hohenweilerbach),L001 011,1899.0,7.0,,871.0,123.0,,True
bruecke,bruecke.378,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,5,5.594,Wiedebachbrücke (Diezlingerbach/Weidebach),L001 006,1912.0,7.0,,594.0,110.0,,True
bruecke,bruecke.385,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,0,0.503,Kugelbeerbrücke,L001 001,2003.0,7.0,,503.0,19.0,,False
bruecke,bruecke.395,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,6,6.871,Seilerbachbrücke,L001 009,1899.0,7.0,,871.0,123.0,,True
bruecke,bruecke.425,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,6,6.255,Fesslerbachbrücke (Gwiggerbach),L001 007,1954.0,7.0,,255.0,68.0,,True
bruecke,bruecke.541,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,4,4.679,Bergerbachbrücke,L001 005,1912.0,7.0,,679.0,110.0,,True
bruecke,bruecke.614,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,8,8.973,Rickenbachbrücke (Grenze),L001 013,1988.0,7.0,,973.0,34.0,,True
bruecke,bruecke.658,8    -L   1 -    -,L1,Hohenweiler Straße,RFB 1,1,1.018,Lochauerbachbrücke,L001 002,1916.0,7.0,,18.0,106.0,,True
bruecke,bruecke.213,8    -L  10 -    -,L10,Möggerser Straße,RFB 1,0,0.213,Riedbachbrücke,L010 001,1976.0,7.0,,213.0,46.0,,True
bruecke,bruecke.94,8    -L  11 -    -,L11,Eichenberger Straße,RFB 1,4,4.347,Tiefgarage Schönblick (Fremdbrücke),L011 011,1989.0,7.0,,347.0,33.0,,True
bruecke,bruecke.193,8    -L  11 -    -,L11,Eichenberger Straße,RFB 1,2,2.369,Hoferbachbrücke 2,L011 003,1972.0,7.0,,369.0,50.0,,True
bruecke,bruecke.352,8    -L  11 -    -,L11,Eichenberger Straße,RFB 1,2,2.565,Hoferbachbrücke 3,L011 004,1972.0,7.0,,565.0,50.0,,True
bruecke,bruecke.431,8    -L  11 -    -,L11,Eichenberger Straße,RFB 1,2,2.98,Hangbrücke Wanne,L011 005,1977.0,7.0,,980.0,45.0,,True
bruecke,bruecke.484,8    -L  11 -    -,L11,Eichenberger Straße,RFB 1,0,0.464,Hoferbachbrücke 1,L011 001,2008.0,7.0,,464.0,14.0,,False
bruecke,bruecke.588,8    -L  11 -    -,L11,Eichenberger Straße,RFB 1,2,2.191,Hangbrücke,L011 002,1972.0,7.0,,191.0,50.0,,True
bruecke,bruecke.163,8    -L  12 -    -,L12,Fluher Straße,RFB 1,5,5.888,Grasreuterbachbrücke,L012 001,1925.0,7.0,,888.0,97.0,,True
bruecke,bruecke.656,8    -L  12 -    -,L12,Fluher Straße,RFB 1,5,5.966,Wirtatobelbrücke,L012 002,1988.0,7.0,,966.0,34.0,,True
bruecke,bruecke.115,8    -L  13 -    -,L13,Kennelbacher Straße,RFB 1,2,2.533,Bregenzerachbrücke,L013 002,1979.0,7.0,,533.0,43.0,,True
bruecke,bruecke.253,8    -L  13 -    -,L13,Kennelbacher Straße,RFB 1,0,0.598,V21d Radwegunterführung Kreisverkehr 2,L013 004,2004.0,7.0,,598.0,18.0,,False
bruecke,bruecke.409,8    -L  13 -    -,L13,Kennelbacher Straße,RFB 1,0,0.041,Überführung  der L13 über den Citytunnel,A 14 T02,2022.0,7.0,,41.0,0.0,,False
bruecke,bruecke.523,8    -L  13 -    -,L13,Kennelbacher Straße,RFB 1,2,2.186,Werkskanalbrücke,L013 001,1975.0,7.0,,186.0,47.0,,True
bruecke,bruecke.673,8    -L  13 -    -,L13,Kennelbacher Straße,RFB 1,0,0.57,V21d Radwegunterführung Kreisverkehr 1,L013 003,2004.0,7.0,,570.0,18.0,,False
bruecke,bruecke.196,8    -L  14 -    -,L14,Bucher Straße,RFB 1,6,6.76,Sägertobelbrücke,L014 005,1990.0,7.0,,760.0,32.0,,True
bruecke,bruecke.322,8    -L  14 -    -,L14,Bucher Straße,RFB 1,9,9.806,Fischbachbrücke,L014 007,2013.0,7.0,,806.0,9.0,,False
bruecke,bruecke.329,8    -L  14 -    -,L14,Bucher Straße,RFB 1,4,4.129,Bruckgrabenbrücke,L014 003,1983.0,7.0,,129.0,39.0,,True
bruecke,bruecke.331,8    -L  14 -    -,L14,Bucher Straße,RFB 1,7,7.364,Gewölbedurchlass 2,L014 006,2009.0,7.0,,364.0,13.0,,False
bruecke,bruecke.498,8    -L  14 -    -,L14,Bucher Straße,RFB 1,3,3.577,Ippachbrücke,L014 002,2001.0,7.0,,577.0,21.0,,False
bruecke,bruecke.620,8    -L  14 -    -,L14,Bucher Straße,RFB 1,2,2.557,Hangbrücke Ippach,L014 001,1977.0,7.0,,557.0,45.0,,True
bruecke,bruecke.122,8    -L  15 -    -,L15,Bildsteiner Straße,RFB 1,0,0.722,Hangbrücke 1,L015 002,1987.0,7.0,,722.0,35.0,,True
bruecke,bruecke.291,8    -L  15 -    -,L15,Bildsteiner Straße,RFB 1,0,0.112,Oberer Schlattgrabendurchlass,L015 001,1985.0,7.0,,112.0,37.0,,True
